Time,Photoresistor,Humidity in %,Temperature in C°,CO2 in ppm,Soil Moisture in %
21:42:36,155,56.90,25.40,760,153

21:42:37,154,56.90,25.40,760,153

21:42:38,154,56.90,25.40,760,153

21:42:39,154,56.90,25.40,760,153

21:42:40,154,56.90,25.40,760,153

21:42:41,154,56.90,25.40,760,153

21:42:42,154,56.90,25.40,760,153

21:42:43,154,56.90,25.40,761,153

21:42:44,153,56.80,25.40,761,153

21:42:45,154,56.80,25.40,761,153

21:42:46,153,56.80,25.40,761,153

21:42:47,151,56.80,25.40,761,154

21:42:48,150,56.90,25.40,761,154

21:42:49,150,56.90,25.40,761,154

21:42:50,151,57.20,25.40,761,154

21:42:51,151,57.20,25.40,761,154

21:42:52,150,57.50,25.40,761,154

21:42:53,151,57.50,25.40,761,154

21:42:54,151,57.90,25.40,761,154

21:42:55,151,57.90,25.40,761,154

21:42:56,151,58.10,25.40,761,154

21:42:57,151,58.10,25.40,762,154

21:42:58,151,58.10,25.40,762,154

21:42:59,152,58.10,25.40,762,154

21:43:0,152,58.00,25.40,762,154

21:43:1,152,58.00,25.40,762,154

21:43:2,152,57.70,25.40,762,154

21:43:3,155,57.70,25.40,762,152

21:43:4,157,57.40,25.40,762,153

21:43:5,156,57.40,25.40,762,153

21:43:6,155,57.30,25.40,762,153

21:43:7,155,57.30,25.40,762,153

21:43:9,155,57.10,25.40,762,153

21:43:10,154,57.10,25.40,763,153

21:43:11,155,57.00,25.40,763,153

21:43:12,154,57.00,25.40,763,153

21:43:13,154,56.90,25.40,763,153

21:43:14,154,56.90,25.40,763,153

21:43:15,154,56.70,25.30,763,153

21:43:16,154,56.70,25.30,763,153

21:43:17,154,56.60,25.40,763,153

21:43:18,154,56.60,25.40,762,153

21:43:19,153,56.50,25.40,762,153

21:43:20,151,56.50,25.40,762,154

21:43:21,150,56.30,25.40,763,154

21:43:22,150,56.30,25.40,763,154

21:43:23,151,56.20,25.40,763,154

21:43:24,151,56.20,25.40,763,154

21:43:25,151,56.20,25.40,764,154

21:43:26,151,56.20,25.40,764,154

21:43:27,151,56.20,25.40,764,154

21:43:28,151,56.20,25.40,764,154

21:43:29,151,56.20,25.40,764,154

21:43:30,152,56.20,25.40,764,154

21:43:31,152,56.40,25.40,764,154

21:43:32,152,56.40,25.40,764,154

21:43:33,152,56.50,25.40,764,154

21:43:34,152,56.50,25.40,764,154

21:43:35,152,56.70,25.40,764,154

21:43:36,158,56.70,25.40,764,152

21:43:37,158,56.90,25.40,764,153

21:43:38,156,56.90,25.40,764,153

21:43:39,155,57.20,25.40,764,153

21:43:40,155,57.20,25.40,764,153

21:43:41,154,57.50,25.40,764,153

21:43:42,155,57.50,25.40,765,153

21:43:44,154,57.60,25.40,764,153

21:43:45,154,57.60,25.40,764,153

21:43:46,154,57.60,25.40,764,153

21:43:47,154,57.60,25.40,764,153

21:43:48,154,57.50,25.40,765,153

21:43:49,154,57.50,25.40,765,153

21:43:50,154,57.50,25.40,765,153

21:43:51,153,57.50,25.40,765,153

21:43:52,153,57.40,25.40,765,153

21:43:53,151,57.40,25.40,765,154

21:43:54,150,57.40,25.40,765,154

21:43:55,150,57.40,25.40,765,154

21:43:56,150,57.50,25.40,765,154

21:43:57,151,57.50,25.40,765,154

21:43:58,151,57.70,25.40,765,154

21:43:59,151,57.70,25.40,765,154

21:44:0,151,57.90,25.40,766,154

21:44:1,151,57.90,25.40,766,154

21:44:2,151,58.20,25.40,766,154

21:44:3,152,58.20,25.40,766,154

21:44:4,151,58.40,25.40,766,154

21:44:5,152,58.40,25.40,766,154

21:44:6,152,58.50,25.40,766,154

21:44:7,152,58.50,25.40,766,154

21:44:8,152,58.60,25.40,766,160

21:44:9,157,58.60,25.40,766,152

21:44:10,158,58.50,25.40,766,153

21:44:11,157,58.50,25.40,766,153

21:44:12,156,58.40,25.40,766,153

21:44:13,155,58.40,25.40,766,153

